english,spanish,theme
Seat,Asiento,Travel & Transport
Arrival,Llegada,Travel & Transport
Departure,Partida,Travel & Transport
Stop,Parada,Travel & Transport
Gas,Gasolina,Travel & Transport
Parking,Estacionamiento,Travel & Transport
Metro,Metro,Travel & Transport
Motor,Motor,Travel & Transport
Speed,Velocidad,Travel & Transport
Bridge,Puente,Travel & Transport
Tunnel,Túnel,Travel & Transport
City,Ciudad,Travel & Transport
Country,País,Travel & Transport
World,Mundo,Travel & Transport
Island,Isla,Travel & Transport
Beach,Playa,Travel & Transport
Mountain,Montaña,Travel & Transport
Lake,Lago,Travel & Transport
River,Río,Travel & Transport
Sea,Mar,Travel & Transport
Tourism,Turismo,Travel & Transport
Tourist,Turista,Travel & Transport
Hotel,Hotel,Travel & Transport
Room,Habitación,Travel & Transport
Reservation,Reserva,Travel & Transport
Trip,Excursión,Travel & Transport
Passport,Pasaporte,Travel & Transport
Customs,Aduana,Travel & Transport
Border,Frontera,Travel & Transport
Direction,Dirección,Travel & Transport
Key,Llave,Travel & Transport
North,Norte,Directions
South,Sur,Directions
East,Este,Directions
West,Oeste,Directions
Left,Izquierda,Directions
Right,Derecha,Directions
Straight,Derecho,Directions
Behind,Detrás,Directions
In front,Adelante,Directions
Above,Arriba,Directions
Below,Abajo,Directions
Near,Cerca,Directions
Far,Lejos,Directions
Inside,Dentro,Directions
Outside,Fuera,Directions
Corner,Esquina,Directions
Map,Mapa,Directions
Way,Camino,Directions
Side,Lado,Directions
Next to,Al lado,Directions
Between,Entre,Directions
Towards,Hacia,Directions
Floor,Piso,Directions
Stairs,Escaleras,Directions
Elevator,Ascensor,Directions
Address,Dirección,Directions
Intersection,Cruce,Directions
Block,Cuadra,Directions
Building,Edificio,Directions
Park,Parque,Directions
Center,Centro,Directions
Plaza,Plaza,Directions
Bridge,Puente,Directions
Sign,Letrero,Directions
Street,Vía,Directions
Traffic,Tráfico,Directions
Light,Semáforo,Directions
Crosswalk,Paso,Directions
Turn,Vuelta,Directions
Return,Regreso,Directions
Arrival,Llegada,Directions
Destination,Destino,Directions
Money,Dinero,Shopping & Money
Price,Precio,Shopping & Money
Cost,Costo,Shopping & Money
Buy,Comprar,Shopping & Money
Sell,Vender,Shopping & Money
Shop,Tienda,Shopping & Money
Market,Mercado,Shopping & Money
Cash,Efectivo,Shopping & Money
Card,Tarjeta,Shopping & Money
Bank,Banco,Shopping & Money
Wallet,Cartera,Shopping & Money
Bag,Bolsa,Shopping & Money
Receipt,Recibo,Shopping & Money
Change,Cambio,Shopping & Money
Cheap,Barato,Shopping & Money
Expensive,Caro,Shopping & Money
Free,Gratis,Shopping & Money
Discount,Descuento,Shopping & Money
Offer,Oferta,Shopping & Money
Sale,Venta,Shopping & Money
Credit,Crédito,Shopping & Money
Debt,Deuda,Shopping & Money
Rich,Rico,Shopping & Money
Poor,Pobre,Shopping & Money
Value,Valor,Shopping & Money
Coin,Moneda,Shopping & Money
Dollar,Dólar,Shopping & Money
Euro,Euro,Shopping & Money
Service,Servicio,Shopping & Money
Product,Producto,Shopping & Money
Brand,Marca,Shopping & Money
Quality,Calidad,Shopping & Money
Size,Talla,Shopping & Money
Customer,Cliente,Shopping & Money
Seller,Vendedor,Shopping & Money
Mall,Centro comercial,Shopping & Money
Supermarket,Supermercado,Shopping & Money
Gift,Regalo,Shopping & Money
Open,Abierto,Shopping & Money
Closed,Cerrado,Shopping & Money
Order,Orden,Shopping & Money
Box,Caja,Shopping & Money
Counter,Mostrador,Shopping & Money
Queue,Fila,Shopping & Money
Choice,Opción,Shopping & Money
List,Lista,Shopping & Money
Total,Total,Shopping & Money
Half,Mitad,Shopping & Money
Less,Menos,Shopping & Money
More,Más,Shopping & Money
Health,Salud,Health & Emergencies
Sick,Enfermo,Health & Emergencies
Pain,Dolor,Health & Emergencies
Doctor,Médico,Health & Emergencies
Nurse,Enfermero,Health & Emergencies
Hospital,Hospital,Health & Emergencies
Medicine,Medicina,Health & Emergencies
Pharmacy,Farmacia,Health & Emergencies
Emergency,Emergencia,Health & Emergencies
Danger,Peligro,Health & Emergencies
Safety,Seguridad,Health & Emergencies
Police,Policía,Health & Emergencies
Help,Socorro,Health & Emergencies
Accident,Accidente,Health & Emergencies
Blood,Sangre,Health & Emergencies
Heart,Corazón,Health & Emergencies
Head,Cabeza,Health & Emergencies
Body,Cuerpo,Health & Emergencies
Fever,Fiebre,Health & Emergencies
Cough,Tos,Health & Emergencies
Cold,Resfriado,Health & Emergencies
Injury,Herida,Health & Emergencies
Fire,Fuego,Health & Emergencies
Smoke,Humo,Health & Emergencies
Water,Agua,Health & Emergencies
Air,Aire,Health & Emergencies
Life,Vida,Health & Emergencies
Death,Muerte,Health & Emergencies
Dead,Muerto,Health & Emergencies
Alive,Vivo,Health & Emergencies
Symptom,Síntoma,Health & Emergencies
Treatment,Tratamiento,Health & Emergencies
Operation,Operación,Health & Emergencies
Pill,Pastilla,Health & Emergencies
Bandage,Venda,Health & Emergencies
Vaccine,Vacuna,Health & Emergencies
Rest,Descanso,Health & Emergencies
Sleep,Sueño,Health & Emergencies
Hygiene,Higiene,Health & Emergencies
Soap,Jabón,Health & Emergencies
Toothbrush,Cepillo,Health & Emergencies
Exercise,Ejercicio,Health & Emergencies
Diet,Dieta,Health & Emergencies
Vision,Visión,Health & Emergencies
Hearing,Oído,Health & Emergencies
Taste,Gusto,Health & Emergencies
Smell,Olfato,Health & Emergencies
Touch,Tacto,Health & Emergencies
Allergic,Alérgico,Health & Emergencies
Poison,Veneno,Health & Emergencies
Rescue,Rescate,Health & Emergencies
Survivor,Sobreviviente,Health & Emergencies
Person,Persona,People & Relationships
Family,Familia,People & Relationships
Man,Hombre,People & Relationships
Woman,Mujer,People & Relationships
Child,Niño,People & Relationships
Father,Padre,People & Relationships
Mother,Madre,People & Relationships
Son,Hijo,People & Relationships
Daughter,Hija,People & Relationships
Brother,Hermano,People & Relationships
Sister,Hermana,People & Relationships
Grandfather,Abuelo,People & Relationships
Grandmother,Abuela,People & Relationships
Uncle,Tío,People & Relationships
Aunt,Tía,People & Relationships
Cousin,Primo,People & Relationships
Nephew,Sobrino,People & Relationships
Niece,Sobrina,People & Relationships
Husband,Marido,People & Relationships
Wife,Esposa,People & Relationships
Boyfriend,Novio,People & Relationships
Girlfriend,Novia,People & Relationships
Partner,Pareja,People & Relationships
Friend,Amigo,People & Relationships
Neighbor,Vecino,People & Relationships
Boss,Jefe,People & Relationships
Colleague,Colega,People & Relationships
Employee,Empleado,People & Relationships
Student,Estudiante,People & Relationships
Teacher,Maestro,People & Relationships
Surname,Apellido,People & Relationships
Age,Edad,People & Relationships
Birth,Nacimiento,People & Relationships
Youth,Juventud,People & Relationships
Old age,Vejez,People & Relationships
Generation,Generación,People & Relationships
Group,Grupo,People & Relationships
Team,Equipo,People & Relationships
Enemy,Enemigo,People & Relationships
Stranger,Desconocido,People & Relationships
Love,Amor,People & Relationships
Hate,Odio,People & Relationships
Wedding,Boda,People & Relationships
Meeting,Reunión,People & Relationships
Trust,Confianza,People & Relationships
Support,Apoyo,People & Relationships
Company,Compañía,People & Relationships
Gender,Género,People & Relationships
Identity,Identidad,People & Relationships
Member,Miembro,People & Relationships
Society,Sociedad,People & Relationships
Human,Humano,People & Relationships
Work,Trabajo,Work & Study
Study,Estudio,Work & Study
Office,Oficina,Work & Study
School,Escuela,Work & Study
University,Universidad,Work & Study
Class,Clase,Work & Study
Lesson,Lección,Work & Study
Book,Libro,Work & Study
Notebook,Cuaderno,Work & Study
Pencil,Lápiz,Work & Study
Pen,Pluma,Work & Study
Computer,Computadora,Work & Study
Paper,Papel,Work & Study
Desk,Escritorio,Work & Study
Exam,Examen,Work & Study
Homework,Tarea,Work & Study
Grade,Nota,Work & Study
Salary,Sueldo,Work & Study
Project,Proyecto,Work & Study
Business,Negocio,Work & Study
Meeting,Reunión,Work & Study
Goal,Meta,Work & Study
Skill,Habilidad,Work & Study
Experience,Experiencia,Work & Study
Knowledge,Conocimiento,Work & Study
Error,Error,Work & Study
Success,Éxito,Work & Study
Failure,Fracaso,Work & Study
Science,Ciencia,Work & Study
History,Historia,Work & Study
Language,Idioma,Work & Study
Writing,Escritura,Work & Study
Reading,Lectura,Work & Study
Page,Página,Work & Study
System,Sistema,Work & Study
Program,Programa,Work & Study
Data,Datos,Work & Study
File,Archivo,Work & Study
Profession,Profesión,Work & Study
Position,Puesto,Work & Study
Boss,Jefe,Work & Study
Colleague,Compañero,Work & Study
Manager,Gerente,Work & Study
Client,Cliente,Work & Study
Presentation,Presentación,Work & Study
Discussion,Discusión,Work & Study
Decision,Decisión,Work & Study
Idea,Idea,Work & Study
Question,Pregunta,Work & Study
Answer,Respuesta,Work & Study
Fact,Hecho,Work & Study
Problem,Problema,Work & Study
Solution,Solución,Work & Study
Training,Entrenamiento,Work & Study
Education,Educación,Work & Study
House,Casa,Home & Daily Life
Home,Hogar,Home & Daily Life
Door,Puerta,Home & Daily Life
Window,Ventana,Home & Daily Life
Kitchen,Cocina,Home & Daily Life
Bathroom,Baño,Home & Daily Life
Bedroom,Dormitorio,Home & Daily Life
Living room,Sala,Home & Daily Life
Table,Mesa,Home & Daily Life
Chair,Silla,Home & Daily Life
Bed,Cama,Home & Daily Life
Mirror,Espejo,Home & Daily Life
Key,Llave,Home & Daily Life
Floor,Suelo,Home & Daily Life
Wall,Pared,Home & Daily Life
Light,Luz,Home & Daily Life
Sofa,Sofá,Home & Daily Life
Fridge,Nevera,Home & Daily Life
Oven,Horno,Home & Daily Life
Sink,Fregadero,Home & Daily Life
Shower,Ducha,Home & Daily Life
Toilet,Inodoro,Home & Daily Life
Towel,Toalla,Home & Daily Life
Soap,Jabón,Home & Daily Life
Plate,Plato,Home & Daily Life
Cup,Taza,Home & Daily Life
Spoon,Cuchara,Home & Daily Life
Clock,Reloj,Home & Daily Life
Telephone,Teléfono,Home & Daily Life
Trash,Basura,Home & Daily Life
Broom,Escoba,Home & Daily Life
Garden,Jardín,Home & Daily Life
Fence,Cerca,Home & Daily Life
Roof,Techo,Home & Daily Life
Stairs,Escaleras,Home & Daily Life
Hallway,Pasillo,Home & Daily Life
Closet,Armario,Home & Daily Life
Drawer,Cajón,Home & Daily Life
Shelf,Estante,Home & Daily Life
Rug,Alfombra,Home & Daily Life
Curtain,Cortina,Home & Daily Life
Pillow,Almohada,Home & Daily Life
Sheet,Sábana,Home & Daily Life
Blanket,Manta,Home & Daily Life
Routine,Rutina,Home & Daily Life
Morning,Mañana,Home & Daily Life
Afternoon,Tarde,Home & Daily Life
Night,Noche,Home & Daily Life
Meal,Comida,Home & Daily Life
Cooking,Cocinar,Home & Daily Life
Cleaning,Limpiar,Home & Daily Life
Washing,Lavar,Home & Daily Life
Resting,Descanso,Home & Daily Life
Playing,Jugar,Home & Daily Life
Reading,Leer,Home & Daily Life
Watching,Mirar,Home & Daily Life
Neighbor,Vecino,Home & Daily Life
Sun,Sol,Weather & Nature
Moon,Luna,Weather & Nature
Sky,Cielo,Weather & Nature
Star,Estrella,Weather & Nature
World,Mundo,Weather & Nature
Earth,Tierra,Weather & Nature
Water,Agua,Weather & Nature
Fire,Fuego,Weather & Nature
Air,Aire,Weather & Nature
Sea,Mar,Weather & Nature
Ocean,Océano,Weather & Nature
River,Río,Weather & Nature
Lake,Lago,Weather & Nature
Beach,Playa,Weather & Nature
Sand,Arena,Weather & Nature
Rock,Piedra,Weather & Nature
Mountain,Montaña,Weather & Nature
Hill,Colina,Weather & Nature
Valley,Valle,Weather & Nature
Forest,Bosque,Weather & Nature
Tree,Árbol,Weather & Nature
Flower,Flor,Weather & Nature
Plant,Planta,Weather & Nature
Leaf,Hoja,Weather & Nature
Root,Raíz,Weather & Nature
Grass,Hierba,Weather & Nature
Field,Campo,Weather & Nature
Desert,Desierto,Weather & Nature
Jungle,Selva,Weather & Nature
Animal,Animal,Weather & Nature
Dog,Perro,Weather & Nature
Cat,Gato,Weather & Nature
Bird,Pájaro,Weather & Nature
Fish,Pez,Weather & Nature
Horse,Caballo,Weather & Nature
Cow,Vaca,Weather & Nature
Weather,Tiempo,Weather & Nature
Rain,Lluvia,Weather & Nature
Snow,Nieve,Weather & Nature
Wind,Viento,Weather & Nature
Storm,Tormenta,Weather & Nature
Cloud,Nube,Weather & Nature
Heat,Calor,Weather & Nature
Cold,Frío,Weather & Nature
Fog,Niebla,Weather & Nature
Ice,Hielo,Weather & Nature
Light,Luz,Weather & Nature
Darkness,Oscuridad,Weather & Nature
Environment,Medio ambiente,Weather & Nature
Pollution,Contaminación,Weather & Nature
Nature,Naturaleza,Weather & Nature
Season,Estación,Weather & Nature
Spring,Primavera,Weather & Nature
Summer,Verano,Weather & Nature
Autumn,Otoño,Weather & Nature
Winter,Invierno,Weather & Nature
Wood,Madera,Weather & Nature
Shadow,Sombra,Weather & Nature
Sound,Sonido,Weather & Nature
Silence,Silencio,Weather & Nature
Zero,Cero,Time & Numbers
One,Uno,Time & Numbers
Two,Dos,Time & Numbers
Three,Tres,Time & Numbers
Four,Cuatro,Time & Numbers
Five,Cinco,Time & Numbers
Six,Seis,Time & Numbers
Seven,Siete,Time & Numbers
Eight,Ocho,Time & Numbers
Nine,Nueve,Time & Numbers
Ten,Diez,Time & Numbers
Twenty,Veinte,Time & Numbers
Thirty,Treinta,Time & Numbers
Forty,Cuarenta,Time & Numbers
Fifty,Cincuenta,Time & Numbers
Hundred,Cien,Time & Numbers
Thousand,Mil,Time & Numbers
First,Primero,Time & Numbers
Second,Segundo,Time & Numbers
Third,Tercero,Time & Numbers
Time,Tiempo,Time & Numbers
Hour,Hora,Time & Numbers
Minute,Minuto,Time & Numbers
Day,Día,Time & Numbers
Week,Semana,Time & Numbers
Month,Mes,Time & Numbers
Year,Año,Time & Numbers
Monday,Lunes,Time & Numbers
Tuesday,Martes,Time & Numbers
Wednesday,Miércoles,Time & Numbers
Thursday,Jueves,Time & Numbers
Friday,Viernes,Time & Numbers
Saturday,Sábado,Time & Numbers
Sunday,Domingo,Time & Numbers
January,Enero,Time & Numbers
February,Febrero,Time & Numbers
March,Marzo,Time & Numbers
April,Abril,Time & Numbers
May,Mayo,Time & Numbers
June,Junio,Time & Numbers
July,Julio,Time & Numbers
August,Agosto,Time & Numbers
September,Septiembre,Time & Numbers
October,Octubre,Time & Numbers
November,Noviembre,Time & Numbers
December,Diciembre,Time & Numbers
Century,Siglo,Time & Numbers
Date,Fecha,Time & Numbers
Moment,Momento,Time & Numbers
Noon,Mediodía,Time & Numbers
Midnight,Medianoche,Time & Numbers
Morning,Mañana,Time & Numbers
Afternoon,Tarde,Time & Numbers
Night,Noche,Time & Numbers
Today,Hoy,Time & Numbers
Tomorrow,Mañana,Time & Numbers
Yesterday,Ayer,Time & Numbers
I,Yo,Core Grammar
You (informal),Tú,Core Grammar
You (formal),Usted,Core Grammar
He,Él,Core Grammar
She,Ella,Core Grammar
We,Nosotros,Core Grammar
They (m),Ellos,Core Grammar
They (f),Ellas,Core Grammar
Me,Me,Core Grammar
You (object),Te,Core Grammar
Us,Nos,Core Grammar
Him,Lo,Core Grammar
Her,La,Core Grammar
The (m),El,Core Grammar
The (f),La,Core Grammar
A (m),Un,Core Grammar
A (f),Una,Core Grammar
Of / From,De,Core Grammar
In / On,En,Core Grammar
To / At,A,Core Grammar
By / For,Por,Core Grammar
For,Para,Core Grammar
With,Con,Core Grammar
Without,Sin,Core Grammar
And,Y,Core Grammar
But,Pero,Core Grammar
Or,O,Core Grammar
Because,Porque,Core Grammar
If,Si,Core Grammar
That,Que,Core Grammar
Which,Cuál,Core Grammar
Who,Quién,Core Grammar
When,Cuándo,Core Grammar
Where,Dónde,Core Grammar
Why,Por qué,Core Grammar
How,Cómo,Core Grammar
This,Este,Core Grammar
That (near),Ese,Core Grammar
My,Mi,Core Grammar
Your,Tu,Core Grammar
His / Her,Su,Core Grammar
All,Todo,Core Grammar
Some,Algunos,Core Grammar
Other,Otro,Core Grammar
Much,Mucho,Core Grammar
Little,Poco,Core Grammar
Very,Muy,Core Grammar
Well,Bien,Core Grammar
Badly,Mal,Core Grammar
So,Tan,Core Grammar
Here,Aquí,Core Grammar
There,Allí,Core Grammar
Still,Todavía,Core Grammar
Already,Ya,Core Grammar
More,Más,Core Grammar
Less,Menos,Core Grammar
Only,Solo,Core Grammar
Computer,Computadora,Technology & Communication
Internet,Internet,Technology & Communication
Phone,Teléfono,Technology & Communication
Email,Correo,Technology & Communication
Message,Mensaje,Technology & Communication
Network,Red,Technology & Communication
System,Sistema,Technology & Communication
Screen,Pantalla,Technology & Communication
Keyboard,Teclado,Technology & Communication
Mouse,Ratón,Technology & Communication
Camera,Cámara,Technology & Communication
Video,Vídeo,Technology & Communication
Audio,Audio,Technology & Communication
Call,Llamada,Technology & Communication
App,Aplicación,Technology & Communication
Digital,Digital,Technology & Communication
Website,Web,Technology & Communication
Password,Contraseña,Technology & Communication
User,Usuario,Technology & Communication
Data,Datos,Technology & Communication
Info,Información,Technology & Communication
Communication,Comunicación,Technology & Communication
Social,Social,Technology & Communication
Media,Medios,Technology & Communication
News,Noticias,Technology & Communication
Press,Prensa,Technology & Communication
Radio,Radio,Technology & Communication
Television,Televisión,Technology & Communication
Article,Artículo,Technology & Communication
Page,Página,Technology & Communication
Button,Botón,Technology & Communication
Link,Enlace,Technology & Communication
Connection,Conexión,Technology & Communication
Signal,Señal,Technology & Communication
Battery,Batería,Technology & Communication
Charger,Cargador,Technology & Communication
Cable,Cable,Technology & Communication
File,Archivo,Technology & Communication
Document,Documento,Technology & Communication
Memory,Memoria,Technology & Communication
Space,Espacio,Technology & Communication
Tool,Herramienta,Technology & Communication
Code,Código,Technology & Communication
Language,Idioma,Technology & Communication
Text,Texto,Technology & Communication
Sound,Sonido,Technology & Communication
Voice,Voz,Technology & Communication
Chat,Chat,Technology & Communication
Post,Post,Technology & Communication
Update,Actualización,Technology & Communication
Share,Compartir,Technology & Communication
Send,Enviar,Technology & Communication
Play,Jugar,Leisure & Entertainment
Sport,Deporte,Leisure & Entertainment
Game,Juego,Leisure & Entertainment
Music,Música,Leisure & Entertainment
Song,Canción,Leisure & Entertainment
Art,Arte,Leisure & Entertainment
Movie,Película,Leisure & Entertainment
Theater,Teatro,Leisure & Entertainment
Concert,Concierto,Leisure & Entertainment
Museum,Museo,Leisure & Entertainment
Park,Parque,Leisure & Entertainment
Party,Fiesta,Leisure & Entertainment
Dance,Baile,Leisure & Entertainment
Sing,Canto,Leisure & Entertainment
Reading,Lectura,Leisure & Entertainment
Writing,Escritura,Leisure & Entertainment
Painting,Pintura,Leisure & Entertainment
Drawing,Dibujo,Leisure & Entertainment
Hobby,Pasatiempo,Leisure & Entertainment
Leisure,Ocio,Leisure & Entertainment
Fun,Diversión,Leisure & Entertainment
Joke,Broma,Leisure & Entertainment
Laugh,Risa,Leisure & Entertainment
Travel,Viaje,Leisure & Entertainment
Beach,Playa,Leisure & Entertainment
Shopping,Compras,Leisure & Entertainment
TV,Tele,Leisure & Entertainment
Cinema,Cine,Leisure & Entertainment
Actor,Actor,Leisure & Entertainment
Artist,Artista,Leisure & Entertainment
Player,Jugador,Leisure & Entertainment
Team,Equipo,Leisure & Entertainment
Club,Club,Leisure & Entertainment
Event,Evento,Leisure & Entertainment
Show,Show,Leisure & Entertainment
Series,Serie,Leisure & Entertainment
Book,Libro,Leisure & Entertainment
Magazine,Revista,Leisure & Entertainment
Photo,Foto,Leisure & Entertainment
Piano,Piano,Leisure & Entertainment
Guitar,Guitarra,Leisure & Entertainment
Ball,Balón,Leisure & Entertainment
Field,Campo,Leisure & Entertainment
Match,Partido,Leisure & Entertainment
Score,Resultado,Leisure & Entertainment
Winner,Ganador,Leisure & Entertainment
Loser,Perdedor,Leisure & Entertainment
Vacation,Vacaciones,Leisure & Entertainment
Weekend,Fin de semana,Leisure & Entertainment
Holiday,Feriado,Leisure & Entertainment
Friend,Amigo,Leisure & Entertainment
Meeting,Encuentro,Leisure & Entertainment
Relax,Relax,Leisure & Entertainment
Rest,Descanso,Leisure & Entertainment
Good,Bueno,Descriptions & Opinions
Bad,Malo,Descriptions & Opinions
Big,Grande,Descriptions & Opinions
Small,Pequeño,Descriptions & Opinions
New,Nuevo,Descriptions & Opinions
Old,Viejo,Descriptions & Opinions
High,Alto,Descriptions & Opinions
Low,Bajo,Descriptions & Opinions
Long,Largo,Descriptions & Opinions
Short,Corto,Descriptions & Opinions
Fast,Rápido,Descriptions & Opinions
Slow,Lento,Descriptions & Opinions
Hard,Duro,Descriptions & Opinions
Soft,Suave,Descriptions & Opinions
Strong,Fuerte,Descriptions & Opinions
Weak,Débil,Descriptions & Opinions
Hot,Caliente,Descriptions & Opinions
Cold,Frío,Descriptions & Opinions
Heavy,Pesado,Descriptions & Opinions
Light,Ligero,Descriptions & Opinions
Full,Lleno,Descriptions & Opinions
Empty,Vacío,Descriptions & Opinions
Rich,Rico,Descriptions & Opinions
Poor,Pobre,Descriptions & Opinions
Beautiful,Hermoso,Descriptions & Opinions
Ugly,Feo,Descriptions & Opinions
Clean,Limpio,Descriptions & Opinions
Dirty,Sucio,Descriptions & Opinions
Possible,Posible,Descriptions & Opinions
Impossible,Imposible,Descriptions & Opinions
Easy,Fácil,Descriptions & Opinions
Difficult,Difícil,Descriptions & Opinions
Important,Importante,Descriptions & Opinions
Special,Especial,Descriptions & Opinions
Normal,Normal,Descriptions & Opinions
Real,Real,Descriptions & Opinions
False,Falso,Descriptions & Opinions
Same,Mismo,Descriptions & Opinions
Different,Diferente,Descriptions & Opinions
Main,Principal,Descriptions & Opinions
General,General,Descriptions & Opinions
Specific,Específico,Descriptions & Opinions
Better,Mejor,Descriptions & Opinions
Worse,Peor,Descriptions & Opinions
Great,Genial,Descriptions & Opinions
Perfect,Perfecto,Descriptions & Opinions
True,Verdadero,Descriptions & Opinions
Wrong,Equivocado,Descriptions & Opinions
Busy,Ocupado,Descriptions & Opinions
Ready,Listo,Descriptions & Opinions
Open,Abierto,Descriptions & Opinions
Closed,Cerrado,Descriptions & Opinions
Dark,Oscuro,Descriptions & Opinions
Bright,Brillante,Descriptions & Opinions
Wide,Ancho,Descriptions & Opinions
Narrow,Estrecho,Descriptions & Opinions
Thick,Grueso,Descriptions & Opinions
Thin,Delgado,Descriptions & Opinions
Safe,Seguro,Descriptions & Opinions
Dangerous,Peligroso,Descriptions & Opinions
Clear,Claro,Descriptions & Opinions
Famous,Famoso,Descriptions & Opinions
Typical,Típico,Descriptions & Opinions
Simple,Sencillo,Descriptions & Opinions
Complex,Complejo,Descriptions & Opinions
Body,Cuerpo,Body & Appearance
Head,Cabeza,Body & Appearance
Hair,Pelo,Body & Appearance
Face,Cara,Body & Appearance
Eye,Ojo,Body & Appearance
Ear,Oreja,Body & Appearance
Nose,Nariz,Body & Appearance
Mouth,Boca,Body & Appearance
Neck,Cuello,Body & Appearance
Shoulder,Hombro,Body & Appearance
Arm,Brazo,Body & Appearance
Hand,Mano,Body & Appearance
Finger,Dedo,Body & Appearance
Leg,Pierna,Body & Appearance
Foot,Pie,Body & Appearance
Heart,Corazón,Body & Appearance
